1000 10000
59 407 70
59 434 71
59 525 56
59 547 39
59 802 52
59 816 91
59 817 99
59 864 48
59 941 64
59 943 52
60 179 46
60 362 38
60 544 79
60 549 90
60 590 83
60 654 85
60 680 55
60 705 52
60 814 42
60 845 8
60 896 15
61 88 57
61 115 42
61 135 22
61 219 34
61 222 36
61 322 33
61 324 62
61 351 19
61 523 74
61 585 10
61 593 98
61 785 70
61 907 81
61 954 61
62 5 26
62 76 63
62 137 82
62 244 79
62 320 62
62 437 31
62 517 71
62 673 84
63 49 87
63 51 3
63 142 91
63 197 61
63 207 43
63 259 73
63 318 13
63 375 28
63 511 73
63 549 37
63 642 77
63 661 6
63 748 52
63 970 79
63 1000 56
64 7 100
64 225 51
64 340 77
64 392 91
64 428 52
64 931 83
65 39 19
65 74 83
65 369 82
65 494 4
65 549 37
65 555 55
65 556 92
65 558 40
65 567 15
65 570 33
65 624 49
65 698 5
65 708 63
66 157 42
66 257 70
66 361 99
66 565 13
66 618 62
66 714 7
66 758 19
66 773 39
66 864 100
67 50 66
67 246 75
67 499 71
67 592 83
68 3 36
68 171 82
68 384 46
68 411 15
68 480 20
68 824 60
68 845 72
68 865 46
68 993 68
68 997 96
69 107 7
69 159 12
69 236 27
69 293 1
69 417 98
69 523 53
69 642 95
69 667 32
69 819 87
69 907 89
70 137 78
70 165 76
70 204 10
70 223 74
70 376 18
70 461 78
70 634 43
70 636 68
70 672 68
70 757 98
70 771 66
70 944 13
70 947 56
70 990 7
70 1000 80
71 66 44
71 75 1
71 295 100
71 396 83
71 455 71
71 570 47
71 727 77
71 745 72
71 795 29
71 960 96
71 995 75
72 213 57
72 251 74
72 346 16
72 483 100
72 522 48
72 542 5
72 698 27
72 717 31
72 730 61
72 790 67
72 851 72
72 932 52
72 992 47
73 6 60
73 57 18
73 58 26
73 79 75
73 175 21
73 306 14
73 386 8
73 395 27
73 678 88
73 821 92
73 822 3
73 860 68
73 906 44
73 936 47
74 43 11
74 95 64
74 164 29
74 230 29
74 327 40
74 491 8
74 654 81
75 213 78
75 256 1
75 354 28
75 365 41
75 456 36
75 494 46
75 566 76
75 638 75
75 664 26
75 769 95
76 92 46
76 339 28
76 493 53
76 558 47
76 622 32
76 660 30
76 910 58
76 998 93
77 17 94
77 69 81
77 178 55
77 267 83
77 325 36
77 600 28
77 718 31
78 190 86
78 303 47
78 468 73
78 484 22
78 609 84
78 835 99
78 883 56
79 51 23
79 399 1
79 495 66
79 511 46
79 569 60
79 598 45
79 693 25
79 714 37
79 938 26
79 952 13
80 219 39
80 307 74
80 392 1
80 527 73
80 572 94
80 662 92
80 861 6
81 162 75
81 210 12
81 244 58
81 264 97
81 296 54
81 482 1
81 673 1
81 789 28
81 867 56
81 886 35
82 56 96
82 105 74
82 158 23
82 457 3
82 505 71
82 614 41
82 706 71
82 736 35
82 796 85
83 326 74
83 366 58
83 438 1
83 474 47
83 507 34
83 512 71
83 653 83
83 666 80
83 689 52
83 698 98
83 753 30
83 770 58
84 19 27
84 116 35
84 219 55
84 334 76
84 372 5
84 434 44
84 441 29
84 648 88
84 674 96
84 842 70
84 985 68
85 129 7
85 215 5
85 342 30
85 404 72
85 535 21
85 793 67
85 883 71
86 131 30
86 281 45
86 296 16
86 450 33
86 600 16
86 762 61
86 826 98
86 848 80
86 937 19
86 962 8
87 98 93
87 106 10
87 241 20
87 393 17
87 449 47
87 670 95
87 781 95
87 863 32
88 5 42
88 36 36
88 41 14
88 48 89
88 84 51
88 144 35
88 169 81
88 286 70
88 317 74
88 438 72
88 510 24
88 524 9
88 634 6
88 730 63
88 808 27
88 844 84
88 891 29
88 914 76
88 966 69
89 223 7
89 295 33
89 322 85
89 556 79
89 580 69
89 632 93
89 642 39
89 652 84
89 889 95
89 912 67
90 168 17
90 253 89
90 319 69
90 466 41
90 490 94
90 632 23
90 732 70
90 746 87
90 776 30
90 780 76
90 909 84
90 916 58
90 917 91
91 27 100
91 166 9
91 548 63
91 816 44
91 839 90
91 887 81
91 916 9
91 952 55
91 958 3
92 73 41
92 101 72
92 502 98
92 675 70
92 780 5
92 795 53
93 31 26
93 102 63
93 181 12
93 184 96
93 210 40
93 246 64
93 262 17
93 293 21
93 396 75
93 931 51
94 421 81
94 647 3
94 769 42
94 935 64
94 936 2
95 233 42
95 389 42
95 442 35
95 600 19
95 988 99
96 86 71
96 117 99
96 178 100
96 179 64
96 183 45
96 208 11
96 219 98
96 462 3
96 473 43
96 680 66
96 692 8
96 728 49
96 750 93
96 770 40
96 958 65
97 52 20
97 281 92
97 471 25
97 639 46
98 71 58
98 134 29
98 205 33
98 299 54
98 407 80
98 463 70
98 606 72
98 760 15
98 826 51
98 928 24
98 932 75
98 945 54
99 23 96
99 69 76
99 485 6
99 567 28
99 628 76
99 739 14
99 912 66
100 358 23
100 427 89
100 556 3
100 667 91
100 689 44
100 718 38
100 742 71
100 865 89
100 907 76
100 944 31
101 194 98
101 331 93
101 355 48
101 483 72
101 789 7
101 843 21
102 61 14
102 159 2
102 323 92
102 411 89
102 632 56
102 671 63
102 688 86
102 693 71
102 815 17
102 946 24
102 951 8
103 19 11
103 60 37
103 242 84
103 251 98
103 301 53
103 454 28
103 482 37
103 591 33
103 626 8
103 713 79
103 772 43
103 834 52
103 863 57
104 86 32
104 140 56
104 344 66
104 367 45
104 390 18
104 463 72
104 530 66
104 633 20
104 648 77
104 748 23
104 768 60
104 892 82
104 963 62
105 151 28
105 187 24
105 263 35
105 303 45
105 320 51
105 384 27
105 435 97
105 757 39
105 890 10
106 21 74
106 30 57
106 41 86
106 310 66
106 332 28
106 543 1
106 596 35
106 617 75
107 95 19
107 144 1
107 303 14
107 416 75
107 439 79
107 586 28
107 691 95
107 909 89
107 920 78
107 991 84
108 83 54
108 240 17
108 265 100
108 316 16
108 362 53
108 405 5
108 752 18
108 775 100
108 794 64
108 881 39
108 958 1
109 178 24
109 189 57
109 266 60
109 338 39
109 344 34
109 374 10
109 496 77
109 514 26
109 597 83
109 653 83
109 711 55
109 759 47
109 850 18
109 869 91
109 873 28
109 917 24
110 191 92
110 206 2
110 214 49
110 221 61
110 438 54
110 596 23
110 684 17
110 826 51
111 24 71
111 132 46
111 300 60
111 401 53
111 878 78
111 930 60
112 3 31
112 129 74
112 199 51
112 291 6
112 389 5
112 636 36
112 660 16
113 20 36
113 168 36
113 245 55
113 285 46
113 368 27
113 813 43
113 889 24
113 932 78
113 987 37
114 50 94
114 94 95
114 122 85
114 258 44
114 394 6
114 404 21
114 438 16
114 512 6
114 527 60
114 566 83
114 577 6
114 771 4
114 799 13
114 863 8
114 866 41
115 141 32
115 154 66
115 164 21
115 182 27
115 265 78
115 279 61
115 327 33
115 417 32
115 486 37
115 602 29
115 649 32
115 732 78
116 4 46
116 154 77
116 171 16
116 215 64
116 343 21
116 347 88
116 411 30
116 744 62
116 763 4
116 866 78
116 888 95
116 964 4
116 970 66
116 979 78
117 67 43
117 129 32
117 150 6
117 204 90
117 351 85
117 643 13
117 737 10
117 739 86
117 820 62
118 21 45
118 121 85
118 294 35
118 607 17
118 641 75
118 704 41
118 845 21
118 889 91
118 946 11
118 947 72
118 956 54
119 17 42
119 34 25
119 103 23
119 240 38
119 335 39
119 385 83
119 508 24
119 561 69
119 672 85
119 690 41
119 856 79
119 905 29
120 107 79
120 130 60
120 132 100
120 165 71
120 229 90
120 352 50
120 432 74
120 460 36
120 675 48
120 943 66
120 946 6
120 996 25
121 45 59
121 143 98
121 324 11
121 413 93
121 528 25
121 564 21
121 589 27
121 669 72
121 880 23
121 928 76
122 106 34
122 512 10
122 726 45
122 811 47
123 231 15
123 287 67
123 309 66
123 358 42
123 551 23
123 755 75
124 52 83
124 86 34
124 439 72
124 482 14
124 498 76
124 620 43
124 760 10
124 920 8
125 57 8
125 231 22
125 268 89
125 366 94
125 377 3
125 383 92
125 588 65
125 738 40
125 798 25
126 2 71
126 117 90
126 121 95
126 175 90
126 321 4
126 567 96
126 716 13
126 824 25
126 910 32
126 932 26
127 13 54
127 110 34
127 129 44
127 298 88
127 342 30
127 385 20
127 468 64
127 470 57
127 476 46
127 604 47
127 715 86
127 762 14
127 941 28
127 977 86
128 53 33
128 80 32
128 179 18
128 376 45
128 566 10
128 614 37
128 829 30
128 924 36
128 945 21
128 989 91
129 51 56
129 113 15
129 194 63
129 308 57
129 339 8
129 403 80
129 552 66
129 798 93
129 827 45
129 962 25
129 984 78
130 14 87
130 25 41
130 54 9
130 94 60
130 170 50
130 220 26
130 339 20
130 372 75
130 507 36
130 544 92
130 627 86
130 686 15
131 22 60
131 32 3
131 98 10
131 356 2
131 574 35
131 657 62
131 673 92
131 906 55
132 110 79
132 243 89
132 391 55
132 502 76
132 531 41
132 637 97
132 686 26
132 737 44
132 881 60
132 922 21
133 105 42
133 125 37
133 129 26
133 178 85
133 336 35
133 371 52
133 373 87
133 684 31
133 718 74
133 730 15
133 748 7
133 820 48
133 842 24
134 63 50
134 121 42
134 135 56
134 266 42
134 660 97
134 722 49
134 726 16
134 753 23
134 797 59
134 868 33
134 899 55
135 189 98
135 191 92
135 249 86
135 252 23
135 343 72
135 426 57
135 439 33
135 460 13
135 505 53
135 559 75
135 621 70
135 639 45
135 641 66
135 710 37
135 882 83
136 71 9
136 103 75
136 257 85
136 474 82
136 551 97
136 672 60
136 842 70
136 877 98
137 68 33
137 255 62
137 350 81
137 351 44
137 423 43
137 464 32
137 730 62
137 742 12
137 884 1
138 51 6
138 245 70
138 254 63
138 631 55
138 734 99
138 775 77
138 964 77
139 34 26
139 176 75
139 346 71
139 357 48
139 412 63
139 476 33
139 525 36
139 567 95
139 630 16
139 771 87
139 789 22
139 914 10
140 164 7
140 194 18
140 284 50
140 350 96
140 650 35
140 781 57
140 787 91
140 819 90
140 845 69
140 948 21
140 956 74
140 991 47
141 186 25
141 324 14
141 373 73
141 499 97
141 672 86
141 891 66
141 922 30
141 928 54
142 705 93
142 1000 46
143 7 84
143 289 80
143 313 31
143 700 91
143 751 19
143 864 14
144 95 56
144 319 29
144 511 38
144 737 39
144 744 16
144 776 28
144 810 46
144 815 45
144 871 48
144 891 9
144 999 13
145 21 91
145 246 76
145 255 6
145 318 56
145 340 20
145 346 2
145 455 77
145 495 70
145 522 6
145 650 41
145 730 43
145 857 79
145 969 78
146 11 74
146 32 50
146 85 26
146 188 26
146 442 69
146 508 85
146 558 21
146 605 72
146 610 82
146 702 61
146 791 83
146 862 9
147 13 69
147 42 25
147 66 32
147 123 10
147 417 70
147 511 54
147 545 55
147 970 72
147 983 87
148 55 34
148 67 11
148 132 27
148 160 79
148 312 24
148 348 62
148 410 13
148 444 100
148 469 24
148 641 1
148 822 3
148 862 63
148 883 95
148 917 41
148 955 47
149 63 48
149 230 46
149 326 24
149 364 77
149 489 22
149 572 24
149 680 77
149 742 60
149 830 71
149 861 53
149 879 99
150 106 65
150 112 86
150 134 85
150 327 16
150 377 51
150 407 45
150 470 25
150 544 59
150 556 87
150 983 78
150 1000 87
151 260 19
151 328 49
151 341 74
151 405 84
151 521 23
151 542 8
151 597 43
151 628 61
151 647 76
151 689 70
151 991 28
152 104 61
152 117 20
152 245 81
152 268 23
152 318 35
152 544 57
152 568 79
152 577 50
152 633 40
152 739 100
152 835 29
152 989 10
153 29 46
153 347 63
153 365 39
153 586 13
153 734 56
154 32 81
154 138 23
154 246 20
154 339 89
154 346 58
154 599 25
154 681 32
154 783 34
154 824 57
154 931 74
154 949 74
155 36 39
155 484 88
155 564 40
155 600 100
155 739 48
155 754 77
155 947 62
156 10 89
156 33 47
156 160 75
156 174 27
156 326 19
156 327 33
156 328 72
156 347 35
156 709 71
156 767 65
156 834 17
156 856 89
156 923 13
156 931 61
156 948 30
156 951 52
157 376 2
157 519 94
157 624 75
157 653 55
157 876 61
157 891 43
157 954 20
158 100 13
158 323 15
158 330 7
158 348 22
158 412 73
158 431 82
158 680 73
158 701 49
158 776 75
158 788 13
158 882 52
159 185 58
159 293 82
159 320 27
159 755 43
159 820 57
160 87 72
160 101 87
160 123 45
160 202 47
160 299 42
160 525 68
160 836 73
160 943 12
161 75 12
161 140 11
161 156 11
161 191 64
161 216 17
161 366 31
161 408 70
161 469 88
161 513 65
161 614 95
161 724 67
161 750 12
161 907 33
161 966 70
162 88 57
162 101 39
162 106 52
162 230 19
162 323 95
162 486 39
162 606 99
162 635 8
162 669 24
162 787 96
162 853 71
162 927 15
162 936 53
163 32 81
163 59 40
163 65 66
163 139 13
163 150 95
163 152 17
163 217 92
163 239 41
163 346 29
163 357 67
163 395 77
163 400 10
163 416 77
163 563 62
163 614 55
163 748 56
163 828 42
164 169 73
164 181 90
164 304 44
164 307 41
164 389 29
164 515 13
164 736 95
164 855 30
164 880 36
165 120 84
165 440 15
165 441 65
165 487 68
165 730 30
165 925 34
166 92 68
166 255 32
166 258 4
166 503 24
166 529 47
166 627 67
166 875 34
167 136 74
167 262 54
167 285 93
167 416 74
167 509 47
167 683 4
167 702 24
167 949 23
167 952 41
168 71 61
168 192 48
168 348 38
168 468 42
168 639 71
168 676 23
168 748 18
168 785 5
168 844 91
169 84 21
169 193 65
169 564 38
169 630 94
169 881 36
170 14 54
170 46 74
170 133 28
170 280 66
170 386 69
170 421 67
170 499 36
170 515 58
170 651 32
170 780 76
170 853 64
170 890 40
170 908 70
170 985 34
171 4 87
171 141 47
171 205 80
171 246 60
171 410 62
171 465 66
171 659 92
171 752 63
171 788 91
171 808 86
171 887 74
171 995 23
172 98 28
172 199 87
172 212 24
172 235 1
172 428 13
172 447 72
172 539 12
172 554 78
172 573 41
172 702 3
172 726 50
172 912 34
173 160 95
173 215 47
173 508 45
173 509 56
173 580 15
173 619 52
173 682 49
173 744 33
173 778 48
173 955 30
174 423 22
174 461 8
174 611 59
174 639 29
174 720 62
174 785 65
174 836 76
174 993 91
175 293 20
175 316 56
175 317 84
175 367 80
175 425 61
175 502 38
175 563 64
175 882 92
175 965 58
176 252 28
176 298 83
176 564 16
176 581 6
176 718 76
176 834 51
176 859 12
176 987 90
177 4 3
177 262 78
177 358 95
177 449 75
177 462 4
177 627 45
177 840 28
177 929 32
177 969 3
177 994 63
178 10 11
178 244 17
178 252 54
178 286 55
178 621 23
178 695 36
178 701 25
178 717 2
178 943 88
179 161 46
179 187 6
179 346 57
179 507 76
179 538 4
179 558 52
179 599 24
179 762 39
179 773 60
179 819 49
179 904 68
180 1 12
180 23 19
180 118 91
180 476 84
180 530 35
180 605 58
180 899 44
180 953 28
180 979 96
181 346 32
181 536 32
181 644 14
181 688 27
181 804 37
181 973 86
182 14 95
182 83 77
182 311 32
182 366 30
182 413 64
182 431 85
182 453 37
182 572 91
182 648 51
182 706 76
182 760 69
182 781 62
182 823 74
183 88 95
183 131 21
183 149 56
183 348 64
183 568 14
183 580 70
183 596 96
183 717 22
183 741 50
183 847 42
183 863 73
183 870 30
184 83 72
184 212 97
184 227 80
184 308 70
184 395 33
184 419 12
184 660 82
184 819 77
184 861 88
184 967 56
185 4 7
185 207 86
185 334 41
185 452 21
185 482 82
185 656 65
185 704 59
185 960 82
186 50 29
186 60 94
186 376 14
186 418 72
186 545 92
186 658 74
186 691 32
187 167 40
187 202 38
187 219 97
187 243 61
187 275 78
187 351 57
187 615 53
187 672 49
187 779 62
188 218 73
188 272 18
188 284 95
188 321 67
188 538 30
188 614 7
188 665 44
188 821 43
188 927 1
189 40 44
189 92 12
189 204 14
189 217 73
189 364 31
189 392 52
189 415 97
189 487 22
189 552 82
189 647 61
189 721 7
189 744 28
189 782 23
189 983 50
190 197 54
190 364 28
190 514 35
190 575 49
190 784 11
190 816 42
190 837 86
190 954 45
191 129 23
191 308 33
191 323 93
191 448 87
191 470 38
191 603 53
191 653 82
191 944 13
191 952 17
191 962 67
192 11 83
192 129 57
192 224 82
192 564 1
192 618 32
192 619 30
192 638 78
192 673 26
192 787 58
192 815 11
192 867 41
192 883 28
192 952 88
193 68 69
193 196 50
193 262 36
193 410 9
193 442 11
193 699 43
193 701 56
193 723 100
193 796 41
193 909 73
193 959 83
194 96 99
194 210 57
194 236 31
194 258 78
194 376 68
194 443 38
194 499 86
194 528 93
194 535 72
194 565 3
194 849 42
194 911 90
195 33 35
195 66 8
195 131 97
195 182 99
195 235 31
195 271 83
195 312 16
195 337 57
195 449 32
195 706 33
195 707 99
195 727 84
195 855 14
195 943 71
196 118 26
196 161 46
196 181 42
196 313 32
196 381 88
196 456 82
196 577 89
196 847 66
196 849 37
197 209 23
197 353 77
197 499 4
197 603 93
197 607 53
197 747 78
197 771 69
197 772 35
197 836 76
197 848 66
197 853 57
198 88 42
198 196 45
198 292 22
198 331 24
198 419 87
198 454 14
198 595 35
198 779 80
198 877 52
198 891 98
198 919 71
198 926 33
198 942 94
199 73 26
199 225 17
199 285 43
199 497 24
199 501 30
199 635 16
199 681 9
199 804 93
199 944 87
199 973 68
200 134 36
200 220 1
200 273 64
200 371 17
200 602 84
200 690 96
200 739 18
201 52 63
201 119 50
201 185 38
201 223 46
201 236 79
201 572 56
201 582 41
201 798 76
201 868 32
202 15 17
202 210 81
202 552 47
202 735 35
202 746 76
202 868 15
203 13 73
203 61 38
203 317 45
203 373 92
203 486 85
203 525 79
203 560 95
203 654 20
203 667 46
203 727 70
203 747 16
203 795 68
203 817 92
203 824 60
203 850 74
203 944 90
204 89 33
204 511 86
204 527 65
204 539 84
204 586 33
204 784 54
204 946 98
205 3 76
205 408 12
205 415 43
205 555 76
205 804 96
206 257 35
206 456 12
206 547 68
206 597 70
206 641 93
206 719 67
206 842 92
206 850 41
206 909 56
207 682 58
207 830 81
207 834 37
207 961 5
208 31 59
208 126 92
208 183 8
208 189 84
208 351 37
208 458 60
208 467 63
208 468 28
208 483 43
208 489 38
208 571 20
208 575 66
208 607 73
208 812 73
208 815 8
208 886 7
208 970 39
209 36 52
209 174 33
209 204 80
209 227 14
209 229 100
209 258 52
209 315 78
209 442 38
209 443 53
209 520 75
209 548 55
209 644 77
210 374 58
210 428 46
210 963 10
211 95 4
211 288 41
211 358 51
211 447 50
211 681 80
212 71 27
212 207 25
212 306 90
212 356 84
212 369 65
212 624 44
212 625 80
212 773 10
212 775 72
212 810 13
212 825 70
212 906 97
213 53 19
213 121 62
213 259 89
213 264 30
213 417 12
213 551 90
213 608 6
213 668 68
213 739 21
213 784 4
213 900 86
214 90 43
214 193 100
214 390 81
214 714 1
214 721 38
214 799 33
214 931 66
214 932 92
215 10 87
215 64 37
215 193 38
215 296 69
215 298 49
215 301 1
215 392 40
215 466 22
215 508 22
215 791 1
215 830 64
215 869 55
215 992 31
216 22 96
216 127 100
216 174 69
216 208 80
216 282 23
216 358 66
216 374 65
216 416 99
216 607 95
216 755 5
216 845 23
216 849 30
216 929 17
217 89 95
217 484 24
217 712 49
217 721 31
217 909 23
217 949 48
218 7 86
218 111 86
218 334 8
218 464 50
218 510 64
218 531 40
218 742 64
218 845 49
218 898 56
218 911 41
218 959 61
219 159 81
219 292 93
219 375 70
219 438 55
219 441 42
219 664 20
220 32 79
220 199 40
220 256 79
220 378 35
220 547 25
220 674 76
220 702 83
220 714 94
220 810 80
220 957 85
220 994 25
221 145 67
221 195 97
221 251 77
221 374 1
221 392 66
221 509 51
221 528 41
221 689 96
221 750 48
221 874 75
222 90 70
222 93 7
222 194 14
222 283 14
222 371 99
222 403 47
222 612 85
222 640 18
222 683 1
222 828 23
222 874 83
222 936 80
223 17 30
223 158 66
223 304 14
223 478 97
223 497 7
223 614 30
223 673 71
223 738 27
223 996 28
224 54 20
224 136 22
224 160 84
224 188 100
224 407 29
224 508 12
224 587 38
224 712 73
224 873 54
225 143 55
225 419 95
225 521 67
225 994 49
226 307 92
226 339 13
226 429 73
226 480 82
226 484 44
226 598 1
226 641 94
226 691 93
226 794 66
226 837 70
227 14 8
227 57 42
227 265 33
227 307 67
227 312 30
227 357 98
227 722 100
227 728 48
227 779 96
227 784 61
228 31 36
228 162 31
228 594 79
228 651 82
228 681 71
228 750 59
228 759 82
228 898 39
228 904 82
228 907 65
228 932 90
229 99 28
229 123 55
229 153 78
229 269 17
229 271 34
229 355 90
229 420 80
229 473 57
229 645 83
229 704 79
229 792 36
229 907 36
229 908 39
230 69 100
230 167 5
230 245 9
230 415 77
230 531 24
230 623 71
230 712 11
231 50 11
231 312 12
231 802 27
231 851 4
232 98 92
232 185 15
232 495 10
232 612 87
232 711 80
232 806 5
232 906 9
232 919 85
232 998 74
